rank,title,artist,album,img_url
1,REBEL HEART,IVE (아이브),IVE EMPATHY,https://image.bugsm.co.kr/album/images/50/41130/4113098.jpg?version=20250114011802.0
2,Whiplash,aespa,Whiplash - The 5th Mini Album,https://image.bugsm.co.kr/album/images/50/41087/4108755.jpg?version=20241126004739.0
3,toxic till the end,로제(ROSÉ),rosie,https://image.bugsm.co.kr/album/images/50/41113/4111311.jpg?version=20241210002920.0
4,APT.,로제(ROSÉ),APT.,https://image.bugsm.co.kr/album/images/50/41086/4108664.jpg?version=20241206010201.0
5,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)",https://image.bugsm.co.kr/album/images/50/41106/4110623.jpg?version=20241128002601.0
6,너와의 모든 지금,재쓰비 (JAESSBEE),너와의 모든 지금,https://image.bugsm.co.kr/album/images/50/41095/4109588.jpg?version=20241114010321.0
7,나는 반딧불,황가람,나는 반딧불,https://image.bugsm.co.kr/album/images/50/41087/4108756.jpg?version=20241023010353.0
8,Drowning,WOODZ,OO-LI,https://image.bugsm.co.kr/album/images/50/40839/4083984.jpg?version=20230427011747.0
9,DRIP,BABYMONSTER,DRIP,https://image.bugsm.co.kr/album/images/50/41091/4109194.jpg?version=20250118015053.0
10,HAPPY,DAY6 (데이식스),Fourever,https://image.bugsm.co.kr/album/images/50/206298/20629850.jpg?version=20250104012829.0
11,Mantra,제니 (JENNIE),Mantra,https://image.bugsm.co.kr/album/images/50/41083/4108354.jpg?version=20241017004618.0
12,오늘만 I LOVE YOU,BOYNEXTDOOR,오늘만 I LOVE YOU,https://image.bugsm.co.kr/album/images/50/41125/4112558.jpg?version=20250108011423.0
13,number one girl,로제(ROSÉ),number one girl,https://image.bugsm.co.kr/album/images/50/41106/4110641.jpg?version=20241123003542.0
14,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',https://image.bugsm.co.kr/album/images/50/41065/4106548.jpg?version=20250107004107.0
