rank,title,artist,album,img_url
1,HOME SWEET HOME (Feat. 태양 & 대성),G-DRAGON,HOME SWEET HOME,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/795/386/85795386_1732170719581_1_140x140.JPG/dims/resize/Q_80,0"
2,Whiplash,aespa,Whiplash - The 5th Mini Album,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/694/834/85694834_1729236989658_1_140x140.JPG/dims/resize/Q_80,0"
3,APT.,로제 (ROSÉ) & Bruno Mars,APT.,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/693/971/85693971_1729212690074_1_140x140.JPG/dims/resize/Q_80,0"
4,나는 반딧불,황가람,나는 반딧불,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/694/890/85694890_1729238188939_1_140x140.JPG/dims/resize/Q_80,0"
5,REBEL HEART,IVE (아이브),IVE EMPATHY,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/919/941/85919941_1736491636347_1_140x140.JPG/dims/resize/Q_80,0"
6,HAPPY,DAY6 (데이식스),Fourever,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/084/877/280/84877280_1710728168568_1_140x140.JPG/dims/resize/Q_80,0"
7,toxic till the end,로제 (ROSÉ),rosie,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/838/476/85838476_1733375833981_1_140x140.JPG/dims/resize/Q_80,0"
8,너와의 모든 지금,재쓰비 (JAESSBEE),너와의 모든 지금,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/758/344/85758344_1731048739763_1_140x140.JPG/dims/resize/Q_80,0"
9,Drowning,WOODZ,OO-LI,"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/083/570/761/83570761_1682496044865_1_140x140.JPG/dims/resize/Q_80,0"
10,내 이름 맑음,QWER,2nd Mini Album 'Algorithm's Blossom',"//image.genie.co.kr/Y/IMAGE/IMG_ALBUM/085/556/176/85556176_1727059041255_1_140x140.JPG/dims/resize/Q_80,0"
